#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\insights\ad-assessment.md","37","log analytics","* The Active Directory Health Check solution requires a supported version of .NET Framework 4.5.2 or above installed on each computer that has the Microsoft Monitoring Agent (MMA) installed.  The MMA agent is used by System Center 2016 - Operations Manager and Operations Manager 2012 R2, and the Log Analytics service."
"\insights\ad-assessment.md","39","log analytics","* A Log Analytics workspace to add the Active Directory Health Check solution from the Azure marketplace in the Azure portal.  There is no further configuration required."
"\insights\ad-assessment.md","42","log analytics","  > After you've added the solution, the AdvisorAssessment.exe file is added to servers with agents. Configuration data is read and then sent to the Log Analytics service in the cloud for processing. Logic is applied to the received data and the cloud service records the data."
"\insights\ad-assessment.md","46","log analytics","To perform the health check against your domain controllers that are members of the domain to be evaluated, they require an agent and connectivity to Log Analytics using one of the following supported methods:"
"\insights\ad-assessment.md","49","log analytics","2. If it is monitored with System Center 2016 - Operations Manager or Operations Manager 2012 R2 and the management group is not integrated with the Log Analytics service, the domain controller can be multi-homed with Log Analytics to collect data and forward to the service and still be monitored by Operations Manager.  "
"\insights\ad-assessment.md","52","log analytics","The agent on your domain controller which reports to an Operations Manager management group, collects data, forwards to its assigned management server, and then is sent directly from a management server to the Log Analytics service.  The data is not written to the Operations Manager databases.  "
"\insights\ad-assessment.md","70","log analytics","Data is collected on the domain controller and forwarded to Log Analytics every seven days.  "
"\insights\ad-assessment.md","104","log analytics","3. Click the **Overview** tile for your Log Analytics workspace in the Azure portal."
"\insights\ad-assessment.md","111","log analytics","If you have recommendations that you want to ignore, you can create a text file that Log Analytics will use to prevent recommendations from appearing in your assessment results."
"\insights\ad-assessment.md","114","log analytics","1. In the Azure portal on the Log Analytics workspace page for your selected workspace, click the **Log Search** tile."
"\insights\ad-assessment.md","126","log analytics","2. Paste or type each RecommendationId for each recommendation that you want Log Analytics to ignore on a separate line and then save and close the file."
"\insights\ad-assessment.md","127","log analytics","3. Put the file in the following folder on each computer where you want Log Analytics to ignore recommendations."
"\insights\ad-assessment.md","181","log analytics","* Use [Log searches in Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to learn how to analyze detailed AD Health Check data and recommendations."
"\insights\ad-replication-status.md","2","log analytics","title: Monitor Active Directory replication status with Azure Log Analytics | Microsoft Docs"
"\insights\ad-replication-status.md","18","log analytics","# Monitor Active Directory replication status with Log Analytics"
"\insights\ad-replication-status.md","29","log analytics","* You must install agents on domain controllers that are members of the domain to be evaluated. Or, you must install agents on member servers and configure the agents to send AD replication data to Log Analytics. To understand how to connect Windows computers to Log Analytics, see [Connect Windows computers to Log Analytics](../../azure-monitor/platform/agent-windows.md). If your domain controller is already part of an existing System Center Operations Manager environment that you want to connect to Log Analytics, see [Connect Operations Manager to Log Analytics](../../azure-monitor/platform/om-agents.md)."
"\insights\ad-replication-status.md","30","log analytics","* Add the Active Directory Replication Status solution to your Log Analytics workspace using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md).  There is no further configuration required."
"\insights\ad-replication-status.md","39","log analytics","## Optionally, enable a non-domain controller to send AD data to Log Analytics"
"\insights\ad-replication-status.md","40","log analytics","If you don't want to connect any of your domain controllers directly to Log Analytics, you can use any other computer in your domain connected to Log Analytics to collect data for the AD Replication Status solution pack and have it send the data."
"\insights\ad-replication-status.md","42","log analytics","### To enable a non-domain controller to send AD data to Log Analytics"
"\insights\ad-replication-status.md","44","log analytics","2. [Connect the Windows computer to Log Analytics](../../azure-monitor/platform/om-agents.md) or [connect it using your existing Operations Manager environment to Log Analytics](../../azure-monitor/platform/om-agents.md), if it is not already connected."
"\insights\ad-replication-status.md","57","log analytics","Once you have AD replication status data sent to Log Analytics, you see a tile similar to the following image in Log Analytics indicating how many replication errors you currently have.  "
"\insights\ad-replication-status.md","121","log analytics","**Q: Do I need to add all of my domain controllers to my Log Analytics workspace in order to see replication status?**"
"\insights\ad-replication-status.md","122","log analytics","A: No, only a single domain controller must be added. If you have multiple domain controllers in your Log Analytics workspace, data from all of them is sent to Log Analytics."
"\insights\ad-replication-status.md","124","log analytics","**Q: I don't want to add any domain controllers to my Log Analytics workspace. Can I still use the AD Replication Status solution?**"
"\insights\ad-replication-status.md","125","log analytics","A: Yes. You can set the value of a registry key to enable it. See [To enable a non-domain controller to send AD data to Log Analytics](#to-enable-a-non-domain-controller-to-send-ad-data-to-oms)."
"\insights\ad-replication-status.md","143","log analytics","In order to collect data, the AD Replication Status solution pack requires at least one domain controller to be connected to your Log Analytics workspace. Until you connect a domain controller, a message appears indicating that **data is still being collected**."
"\insights\ad-replication-status.md","145","log analytics","If you need assistance connecting one of your domain controllers, you can view documentation at [Connect Windows computers to Log Analytics](../../azure-monitor/platform/om-agents.md). Alternatively, if your domain controller is already connected to an existing System Center Operations Manager environment, you can view documentation at [Connect System Center Operations Manager to Log Analytics](../../azure-monitor/platform/om-agents.md)."
"\insights\ad-replication-status.md","147","log analytics","If you don't want to connect any of your domain controllers directly to Log Analytics or to System Center Operations Manager, see [To enable a non-domain controller to send AD data to Log Analytics](#to-enable-a-non-domain-controller-to-send-ad-data-to-oms)."
"\insights\ad-replication-status.md","150","log analytics","* Use [Log searches in Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to view detailed Active Directory Replication status data."
"\insights\azure-key-vault.md","2","log analytics","title: Azure Key Vault solution in Log Analytics | Microsoft Docs"
"\insights\azure-key-vault.md","3","log analytics","description: You can use the Azure Key Vault solution in Log Analytics to review Azure Key Vault logs."
"\insights\azure-key-vault.md","18","log analytics","# Azure Key Vault Analytics solution in Log Analytics"
"\insights\azure-key-vault.md","22","log analytics","You can use the Azure Key Vault solution in Log Analytics to review Azure Key Vault AuditEvent logs."
"\insights\azure-key-vault.md","24","log analytics","To use the solution, you need to enable logging of Azure Key Vault diagnostics and direct the diagnostics to a Log Analytics workspace. It is not necessary to write the logs to Azure Blob storage."
"\insights\azure-key-vault.md","27","log analytics","> In January 2017, the supported way of sending logs from Key Vault to Log Analytics changed. If the Key Vault solution you are using shows *(deprecated)* in the title, refer to [migrating from the old Key Vault solution](#migrating-from-the-old-key-vault-solution) for steps you need to follow."
"\insights\azure-key-vault.md","34","log analytics","1. Enable the Azure Key Vault solution from [Azure marketplace](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.KeyVaultAnalyticsOMS?tab=Overview) or by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\insights\azure-key-vault.md","47","log analytics","5. Click the checkbox for *Send to Log Analytics*"
"\insights\azure-key-vault.md","48","log analytics","6. Select an existing Log Analytics workspace, or create a workspace"
"\insights\azure-key-vault.md","50","log analytics","8. Click *Save* to enable the logging of diagnostics to Log Analytics"
"\insights\azure-key-vault.md","75","log analytics","After you [install the solution](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.KeyVaultAnalyticsOMS?tab=Overview), view the Key Vault data by clicking the **Azure Key Vault** tile from the **Overview** page of Log Analytics."
"\insights\azure-key-vault.md","96","log analytics","## Log Analytics records"
"\insights\azure-key-vault.md","123","log analytics","In January 2017, the supported way of sending logs from Key Vault to Log Analytics changed. These changes provide the following advantages:"
"\insights\azure-key-vault.md","124","log analytics","+ Logs are written directly to Log Analytics without the need to use a storage account"
"\insights\azure-key-vault.md","125","log analytics","+ Less latency from the time when logs are generated to them being available in Log Analytics"
"\insights\azure-key-vault.md","131","log analytics","1. [Configure diagnostics to be sent directly to Log Analytics from Key Vault](#enable-key-vault-diagnostics-in-the-portal)  "
"\insights\azure-key-vault.md","132","log analytics","2. Enable the Azure Key Vault solution by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)"
"\insights\azure-key-vault.md","141","log analytics","4. Remove the *Key Vault Analytics (Deprecated)* solution. If you are using PowerShell, use `Set-AzureOperationalInsightsIntelligencePack -ResourceGroupName <resource group that the workspace is in> -WorkspaceName <name of the log analytics workspace> -IntelligencePackName ""KeyVault"" -Enabled $false`"
"\insights\azure-key-vault.md","149","log analytics","* Use [Log searches in Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to view detailed Azure Key Vault data."
"\insights\azure-networking-analytics.md","2","log analytics","title: Azure Networking Analytics solution in Log Analytics | Microsoft Docs"
"\insights\azure-networking-analytics.md","3","log analytics","description: You can use the Azure Networking Analytics solution in Log Analytics to review Azure network security group logs and Azure Application Gateway logs."
"\insights\azure-networking-analytics.md","18","log analytics","# Azure networking monitoring solutions in Log Analytics"
"\insights\azure-networking-analytics.md","32","management solution","The [Network Performance Monitor](https://docs.microsoft.com/azure/networking/network-monitoring-overview) management solution is a network monitoring solution, that monitors the health, availability and reachability of networks.  It is used to monitor connectivity between:"
"\insights\azure-networking-analytics.md","42","log analytics","1. Add the management solution to Log Analytics, and"
"\insights\azure-networking-analytics.md","42","management solution","1. Add the management solution to Log Analytics, and"
"\insights\azure-networking-analytics.md","43","log analytics","2. Enable diagnostics to direct the diagnostics to a Log Analytics workspace. It is not necessary to write the logs to Azure Blob storage."
"\insights\azure-networking-analytics.md","50","log analytics","> In January 2017, the supported way of sending logs from Application Gateways and Network Security Groups to Log Analytics changed. If you see the **Azure Networking Analytics (deprecated)** solution, refer to [migrating from the old Networking Analytics solution](#migrating-from-the-old-networking-analytics-solution) for steps you need to follow."
"\insights\azure-networking-analytics.md","55","management solution","The Azure Application Gateway analytics and the Network Security Group analytics management solutions collect diagnostics logs directly from Azure Application Gateways and Network Security Groups. It is not necessary to write the logs to Azure Blob storage and no agent is required for data collection."
"\insights\azure-networking-analytics.md","64","log analytics","## Azure Application Gateway analytics solution in Log Analytics"
"\insights\azure-networking-analytics.md","82","log analytics","1. Enable the Azure Application Gateway analytics solution from [Azure marketplace](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.AzureAppGatewayAnalyticsOMS?tab=Overview) or by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\insights\azure-networking-analytics.md","95","log analytics","5. Click the checkbox for *Send to Log Analytics*"
"\insights\azure-networking-analytics.md","96","log analytics","6. Select an existing Log Analytics workspace, or create a workspace"
"\insights\azure-networking-analytics.md","98","log analytics","8. Click *Save* to enable the logging of diagnostics to Log Analytics"
"\insights\azure-networking-analytics.md","135","log analytics","## Azure Network Security Group analytics solution in Log Analytics"
"\insights\azure-networking-analytics.md","153","log analytics","1. Enable the Azure Network Security Group analytics solution from [Azure marketplace](https://azuremarketplace.microsoft.com/marketplace/apps/Microsoft.AzureNSGAnalyticsOMS?tab=Overview) or by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\insights\azure-networking-analytics.md","166","log analytics","5. Click the checkbox for *Send to Log Analytics*"
"\insights\azure-networking-analytics.md","167","log analytics","6. Select an existing Log Analytics workspace, or create a workspace"
"\insights\azure-networking-analytics.md","169","log analytics","8. Click *Save* to enable the logging of diagnostics to Log Analytics"
"\insights\azure-networking-analytics.md","201","log analytics","In January 2017, the supported way of sending logs from Azure Application Gateways and Azure Network Security Groups to Log Analytics changed. These changes provide the following advantages:"
"\insights\azure-networking-analytics.md","202","log analytics","+ Logs are written directly to Log Analytics without the need to use a storage account"
"\insights\azure-networking-analytics.md","203","log analytics","+ Less latency from the time when logs are generated to them being available in Log Analytics"
"\insights\azure-networking-analytics.md","209","log analytics","1. [Configure diagnostics to be sent directly to Log Analytics from Azure Application Gateways](#enable-azure-application-gateway-diagnostics-in-the-portal)"
"\insights\azure-networking-analytics.md","210","log analytics","2. [Configure diagnostics to be sent directly to Log Analytics from Azure Network Security Groups](#enable-azure-network-security-group-diagnostics-in-the-portal)"
"\insights\azure-networking-analytics.md","211","log analytics","2. Enable the *Azure Application Gateway Analytics* and the *Azure Network Security Group Analytics* solution by using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)"
"\insights\azure-networking-analytics.md","224","log analytics","  + If you are using PowerShell, use `Set-AzureOperationalInsightsIntelligencePack -ResourceGroupName <resource group that the workspace is in> -WorkspaceName <name of the log analytics workspace> -IntelligencePackName ""AzureNetwork"" -Enabled $false`"
"\insights\azure-networking-analytics.md","232","log analytics","* Use [Log searches in Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to view detailed Azure diagnostics data."
"\insights\azure-sql.md","2","log analytics","title: Azure SQL Analytics solution in Log Analytics | Microsoft Docs"
"\insights\azure-sql.md","22","log analytics","By using metrics that you collect with the solution, you can create custom monitoring rules and alerts. The solution helps you to identify issues at each layer of your application stack. It uses Azure Diagnostic metrics along with Log Analytics views to present data about all your Azure SQL databases, elastic pools, and databases in Managed Instances in a single Log Analytics workspace. Log Analytics helps you to collect, correlate, and visualize structured and unstructured data."
"\insights\azure-sql.md","31","log analytics","Azure SQL Analytics is a cloud only monitoring solution supporting streaming of diagnostics telemetry for Azure SQL databases: single, pooled, and Managed Instance databases. As the solution does not use agents to connect to the Log Analytics service, the solution does not support monitoring of SQL Server hosted on-premises or in VMs, see the compatibility table below."
"\insights\azure-sql.md","35","log analytics","| [Azure Diagnostics](../../azure-monitor/platform/collect-azure-metrics-logs.md) | **Yes** | Azure metric and log data are sent to Log Analytics directly by Azure. |"
"\insights\azure-sql.md","36","log analytics","| [Azure storage account](../../azure-monitor/platform/collect-azure-metrics-logs.md) | No | Log Analytics doesn't read the data from a storage account. |"
"\insights\azure-sql.md","39","log analytics","| [System Center Operations Manager management group](../platform/om-agents.md) | No | A direct connection from the Operations Manager agent to Log Analytics is not used by the solution. |"
"\insights\azure-sql.md","75","log analytics","The dashboard includes the overview of all databases that are monitored through different perspectives. For different perspectives to work, you must enable proper metrics or logs on your SQL resources to be streamed to Azure Log Analytics workspace."
"\insights\azure-sql.md","77","log analytics","Note that if some metrics or logs are not streamed into Azure Log Analytics, the tiles in the solution are not populated with monitoring information."
"\insights\azure-sql.md","177","log analytics","Data analysis in Azure SQL Analytics is based on [Log Analytics language](../log-query/get-started-queries.md) for your custom querying and reporting. Find description of the available data collected from database resource for custom querying in [metrics and logs available](../../sql-database/sql-database-metrics-diag-logging.md#metrics-and-logs-available)."
"\insights\azure-sql.md","179","log analytics","Automated alerting in the solution is based on writing a Log Analytics query that triggers an alert upon a condition met. Find below several examples on Log Analytics queries upon which alerting can be set up in the solution."
"\insights\azure-sql.md","291","log analytics","While the solution is free to use, consumption of diagnostics telemetry above the free units of data ingestion allocated each month applies, see [Log Analytics pricing](https://azure.microsoft.com/en-us/pricing/details/monitor). The free units of data ingestion provided enable free monitoring of several databases each month. Note that more active databases with heavier workloads ingest more data versus idle databases. You can easily monitor your data ingestion consumption in the solution by selecting OMS Workspace on the navigation menu of Azure SQL Analytics, and then selecting Usage and Estimated Costs."
"\insights\azure-sql.md","295","log analytics","- Use [Log Searches](../../azure-monitor/log-query/log-query-overview.md) in Log Analytics to view detailed Azure SQL data."
"\insights\capacity-performance.md","2","log analytics","title: Capacity and Performance solution in Azure Log Analytics | Microsoft Docs"
"\insights\capacity-performance.md","3","log analytics","description: Use the Capacity and Performance solution in Log Analytics to help you understand the capacity of your Hyper-V servers."
"\insights\capacity-performance.md","25","log analytics","You can use the Capacity and Performance solution in Log Analytics to help you understand the capacity of your Hyper-V servers. The solution provides insights into your Hyper-V environment by showing you the overall utilization (CPU, memory, and disk) of the hosts and the VMs running on those Hyper-V hosts. Metrics are collected for CPU, memory, and disks across all your hosts and the VMs running on them."
"\insights\capacity-performance.md","48","log analytics","| [SCOM management group](../../azure-monitor/platform/om-agents.md) | Yes |The solution collects capacity and performance data from agents in a connected SCOM management group. A direct connection from the SCOM agent to Log Analytics is not required.|"
"\insights\capacity-performance.md","60","log analytics","- Add the Capacity and Performance solution to your Log Analytics workspace using the process described in [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\insights\capacity-performance.md","64","log analytics","If your SCOM management group is connected to your Log Analytics workspace, then the following management packs will be installed in SCOM when you add this solution. There is no configuration or maintenance of these management packs required."
"\insights\capacity-performance.md","77","log analytics","For more information on how solution management packs are updated, see [Connect Operations Manager to Log Analytics](../../azure-monitor/platform/om-agents.md)."
"\insights\capacity-performance.md","134","log analytics","* Use [Log searches in Log Analytics](../../azure-monitor/log-query/log-query-overview.md) to view detailed Capacity and Performance data."
"\insights\container-insights-agent-upgrade.md","3","log analytics","description: This article describes how you upgrade the Log Analytics agent used by Azure Monitor for containers."
"\insights\container-insights-agent-upgrade.md","19","log analytics","Azure Monitor for containers uses a containerized version of the Log Analytics agent for Linux. When a new version of the agent is released, the agent is automatically upgraded on your managed Kubernetes clusters hosted on Azure Kubernetes Service (AKS).  "
"\insights\container-insights-analyze.md","256","log analytics","![Analyze data in Log Analytics](./media/container-insights-analyze/container-health-log-search-example.png)   "
"\insights\container-insights-analyze.md","258","log analytics","The container logs output that's forwarded to Log Analytics are STDOUT and STDERR. Because Azure Monitor is monitoring Azure-managed Kubernetes (AKS), Kube-system is not collected today because of the large volume of generated data. "
"\insights\container-insights-manage-agent.md","3","log analytics","description: This article describes managing the most common maintenance tasks with the containerized Log Analytics agent used by Azure Monitor for containers."
"\insights\container-insights-manage-agent.md","19","log analytics","Azure Monitor for containers uses a containerized version of the Log Analytics agent for Linux. After initial deployment, there are routine or optional tasks you may need to perform during its lifecycle. This article details on how to manually upgrade the agent and disable collection of environmental variables from a particular container. "
"\insights\container-insights-manage-agent.md","22","log analytics","Azure Monitor for containers uses a containerized version of the Log Analytics agent for Linux. When a new version of the agent is released, the agent is automatically upgraded on your managed Kubernetes clusters hosted on Azure Kubernetes Service (AKS).  "
"\insights\container-insights-onboard.md","29","log analytics","- A Log Analytics workspace. You can create it when you enable monitoring of your new AKS cluster or let the onboarding experience create a default workspace in the default resource group of the AKS cluster subscription. If you chose to create it yourself, you can create it through [Azure Resource Manager](../../azure-monitor/platform/template-workspace-configuration.md), through [PowerShell](https://docs.microsoft.com/azure/log-analytics/scripts/log-analytics-powershell-sample-create-workspace?toc=%2fpowershell%2fmodule%2ftoc.json), or in the [Azure portal](../../azure-monitor/learn/quick-create-workspace.md)."
"\insights\container-insights-onboard.md","30","log analytics","- You are a member of the Log Analytics contributor role to enable container monitoring. For more information about how to control access to a Log Analytics workspace, see [Manage workspaces](../../azure-monitor/platform/manage-access.md)."
"\insights\container-insights-onboard.md","36","log analytics","Your ability to monitor performance relies on a containerized Log Analytics agent for Linux  specifically developed for Azure Monitor for containers. This specialized agent collects performance and event data from all nodes in the cluster, and the agent is automatically deployed and registered with the specified Log Analytics workspace during deployment. The  agent version is microsoft/oms:ciprod04202018 or later, and is represented by a date in the following format: *mmddyyyy*. "
"\insights\container-insights-onboard.md","48","log analytics","During deployment, you can enable monitoring of a new AKS cluster in the Azure portal, with Azure CLI, or with Terraform.  Follow the steps in the quickstart article [Deploy an Azure Kubernetes Service (AKS) cluster](../../aks/kubernetes-walkthrough-portal.md) if you want to enable from the portal. On the **Monitoring** page, for the **Enable Monitoring** option, select **Yes**, and then select an existing Log Analytics workspace or create a new one. "
"\insights\container-insights-onboard.md","58","log analytics","If you are [deploying a new AKS cluster using Terraform](../../terraform/terraform-create-k8s-cluster-with-tf-and-aks.md), you specify the arguments required in the profile [to create a Log Analytics workspace](https://www.terraform.io/docs/providers/azurerm/r/log_analytics_workspace.html) if you do not chose to specify an existing one. "
"\insights\container-insights-onboard.md","123","log analytics","5. On the **Onboarding to Azure Monitor for containers** page, if you have an existing Log Analytics workspace in the same subscription as the cluster, select it from the drop-down list.  "
"\insights\container-insights-onboard.md","129","log analytics","    >If you want to create a new Log Analytics workspace for storing the monitoring data from the cluster, follow the instructions in [Create a Log Analytics workspace](../../azure-monitor/learn/quick-create-workspace.md). Be sure to create the workspace in the same subscription that the AKS container is deployed to. "
"\insights\container-insights-onboard.md","145","log analytics","6. On the **Onboarding to Azure Monitor for containers** page, if you have an existing Log Analytics workspace in the same subscription as the cluster, select it in the drop-down list.  "
"\insights\container-insights-onboard.md","151","log analytics","    >If you want to create a new Log Analytics workspace for storing the monitoring data from the cluster, follow the instructions in [Create a Log Analytics workspace](../../azure-monitor/learn/quick-create-workspace.md). Be sure to create the workspace in the same subscription that the AKS container is deployed to. "
"\insights\container-insights-onboard.md","160","log analytics","* The Log Analytics workspace and region to create the workspace in. "
"\insights\container-insights-onboard.md","166","log analytics","The Log Analytics workspace has to be created manually. To create the workspace, you can set it up through [Azure Resource Manager](../../azure-monitor/platform/template-workspace-configuration.md), through [PowerShell](https://docs.microsoft.com/azure/log-analytics/scripts/log-analytics-powershell-sample-create-workspace?toc=%2fpowershell%2fmodule%2ftoc.json), or in the [Azure portal](../../azure-monitor/learn/quick-create-workspace.md)."
"\insights\container-insights-onboard.md","198","log analytics","         ""description"": ""Azure Monitor Log Analytics Resource ID"""
"\insights\container-insights-onboard.md","204","log analytics","       ""description"": ""Azure Monitor Log Analytics workspace region"""
"\insights\container-insights-onboard.md","289","log analytics","4. Edit the values for **aksResourceId** and **aksResourceLocation** by using the values on the **AKS Overview** page for the AKS cluster. The value for **workspaceResourceId** is the full resource ID of your Log Analytics workspace, which includes the workspace name. Also specify the location of the workspace for **workspaceRegion**. "
"\insights\container-insights-onboard.md","353","log analytics","To verify that the Log Analytics agent version released before *06072018* is deployed properly, run the following command:  "
"\insights\container-insights-onboard.md","368","log analytics","Use the `aks show` command to get details such as is the solution enabled or not, what is the Log Analytics workspace resourceID, and summary details about the cluster.  "
"\insights\container-insights-optout.md","24","log analytics","Use the [az aks disable-addons](https://docs.microsoft.com/cli/azure/aks?view=azure-cli-latest#az-aks-disable-addons) command to disable Azure Monitor for containers. The command removes the agent from the cluster nodes, it does not remove the solution or the data already collected and stored in your Log Analytics resource.  "
"\insights\container-insights-optout.md","110","log analytics","    While you are on the **Properties** page, also copy the **Workspace Resource ID**. This value is required if you decide you want to delete the Log Analytics workspace later. Deleting the Log Analytics workspace is not performed as part of this process. "
"\insights\container-insights-optout.md","146","log analytics","If the workspace was created only to support monitoring the cluster and it's no longer needed, you have to manually delete it. If you are not familiar with how to delete a workspace, see [Delete an Azure Log Analytics workspace with the Azure portal](../../azure-monitor/platform/delete-workspace.md). Don't forget about the **Workspace Resource ID** we copied earlier in step 4, you're going to need that. "
"\insights\container-insights-overview.md","22","log analytics","Azure Monitor for containers gives you performance visibility by collecting memory and processor metrics from controllers, nodes, and containers that are available in Kubernetes through the Metrics API. Container logs are also collected.  After you enable monitoring from Kubernetes clusters, these metrics and logs are automatically collected for you through a containerized version of the Log Analytics agent for Linux and stored in your [Log Analytics](../../azure-monitor/log-query/log-query-overview.md) workspace. "
"\insights\container-insights-troubleshoot.md","23","log analytics","If Azure Monitor for containers is successfully enabled and configured, but you cannot view status information or no results are returned from a Log Analytics log query, you diagnose the problem by following these steps: "
"\insights\container-insights-troubleshoot.md","96","log analytics","| Error Message `Error retrieving data` | While Azure Kubenetes Service cluster is setting up for health and performance monitoring, a connection is established between the cluster and Azure Log Analytics workspace. A Log Analytics workspace is used to store all monitoring data for your cluster. This error may occur when your Log Analytics workspace has been deleted or lost. Check whether your workspace is available by reviewing [manage access](../../azure-monitor/platform/manage-access.md?toc=/azure/azure-monitor/toc.json#workspace-information). If the workspace is missing, you will need to re-onboard your cluster with Azure Monitor for containers. To re-onboard, you will need to [disable](container-insights-optout.md) monitoring for the cluster and [enable](container-insights-onboard.md?toc=%2fazure%2fmonitoring%2ftoc.json#enable-monitoring-for-a-new-cluster) Azure Monitor for containers again. |  "
"\insights\container-insights-troubleshoot.md","97","log analytics","| `Error retrieving data` after adding Azure Monitor for containers through az aks cli | When onboarding using `az aks cli`, very seldom, Azure Monitor for containers may not be properly onboarded. Check whether the solution is onboarded. To do this, go to your Log Analytics workspace and see if the solution is available by selecting **Solutions** from the pane on the left-hand side. To resolve this issue, you will need to redeploy the solution by following the instructions on [how to deploy Azure Monitor for containers](container-insights-onboard.md?toc=%2fazure%2fmonitoring%2ftoc.json) |  "
"\insights\container-overview.md","21","log analytics","Using [Azure Monitor for containers](container-insights-overview.md), you can view the performance and health of your Linux container infrastructure at a glance and investigate issues quickly. The telemetry is stored in a Log Analytics workspace and integrated in the Azure portal, where you can explore, filter, and segment aggregated data with dashboards to keep an eye on load, performance, and health.  "
"\insights\container-overview.md","23","log analytics","For containers running outside of the hosted Azure Kubernetes service, the Log Analytics [Windows and Docker Container solution](../../azure-monitor/insights/containers.md) helps you view and manage your Windows and Docker container hosts. From your Log Analytics workspace, you can view inventory details, performance, and events from nodes and containers in the environment. You can view detailed audit information showing commands used with containers, and you can troubleshoot containers by viewing and searching centralized logs without having to remotely access Docker or Windows hosts."
"\insights\container-overview.md","25","log analytics","To achieve holistic or end-to-end monitoring of the application, any dependency whether it is an Azure or on-premises resource, should be monitored with Azure Monitor or Log Analytics.  The application layer should be included in order to add an additional layer of health awareness, both at the platform and application level using Application Insights. At the platform level, there are Application Insights SDKs for [Kubernetes]( https://github.com/Microsoft/ApplicationInsights-Kubernetes), [Docker](https://hub.docker.com/r/microsoft/applicationinsights/), and [Service Fabric](https://docs.microsoft.com/azure/service-fabric/service-fabric-diagnostics-event-analysis-appinsights). For microservice applications, there is support for [Java](../../application-insights/app-insights-java-get-started.md), [Node.js](../../application-insights/app-insights-nodejs-quick-start.md), [.Net](../../application-insights/app-insights-asp-net.md), [.Net  Core](../../application-insights/app-insights-asp-net-core.md), as well as a number of other [languages/frameworks](../../application-insights/app-insights-platforms.md). "
"\insights\containers.md","2","log analytics","title: Container Monitoring solution in Azure Log Analytics | Microsoft Docs"
